2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_cc_2387512] at [Fri Mar 14 17:22:57 2025].
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [Test]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_cc_2387512] Run Instance Name: [] Run Id: [114]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_cc_2387512.
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-14 17:22:57 : INFO : (10856 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_cc_2387512] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-14 17:22:57 : INFO : (10856 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-14 17:22:57 : INFO : (10856 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-14 17:22:57 : INFO : (10856 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
